category,object_id,object_name,status,capture_method,safe_source_url,local_artifact_path,comparison_status,blocker
Repository,,playermark456/qbench,preflight complete,Metadata only,https://github.com/playermark456/qbench,QBench/Rescans/2026-08-16/README.md,Current public repository,none
Authentication,,Production tenant host,verified before authentication,DOM extraction,https://ait.qbench.net/portal,QBench/Rescans/2026-08-16/read_only_action_log.md,Not applicable,manual authentication required for further inventory
Authentication,,Laboratory employee login,verified unauthenticated,DOM extraction,https://ait.qbench.net/lims,QBench/Rescans/2026-08-16/read_only_action_log.md,Not applicable,manual authentication required
Authentication,,Production tenant session,authenticated manually by user,Metadata only,https://ait.qbench.net/,QBench/Rescans/2026-08-16/read_only_action_log.md,Resumed 2026-08-16,none
Navigation,,Configuration navigation inventory,complete at list-page level,DOM extraction,https://ait.qbench.net/,QBench/Rescans/2026-08-16/navigation_inventory.csv,Compared with 2026-07-04 and 2026-07-15 baselines,Object details deferred to later phases
Worksheets,,Worksheet object metadata,"complete, 148 objects",DOM extraction,https://ait.qbench.net/worksheets,QBench/Rescans/2026-08-16/Worksheets/worksheet_detail_capture.json,9 new objects and 0 missing IDs versus 2026-07-04,Native definitions unavailable
Worksheet Versions,,Complete visible version inventory,"complete, 700 versions",DOM extraction,https://ait.qbench.net/worksheets,QBench/Rescans/2026-08-16/worksheet_version_inventory.csv,77 added and 0 removed version IDs versus 2026-07-04,none
Worksheet Exports,,Native Export Spreadsheet targets,"blocked, 0 of 161",Export Spreadsheet,https://ait.qbench.net/worksheet?id=8,QBench/Rescans/2026-08-16/Worksheets/export_attempts.json,Current native structure unable to compare,Visible native control produced no downloadable file through available browser tooling
Worksheet Comparison,,Metadata reconciliation,complete at metadata layer,Metadata only,https://ait.qbench.net/worksheets,QBench/Rescans/2026-08-16/worksheet_comparison_summary.md,148 current IDs reconciled against 139 prior IDs,Structural comparison blocked by missing native exports
Worksheet Screenshots,8,Representative version and export evidence,"complete, 2 sanitized crops",Screenshot only,https://ait.qbench.net/worksheet?id=8,QBench/Rescans/2026-08-16/Screenshots/Worksheets/8/,Not applicable,Representative only; no per-object screenshot coverage claimed
Assays,,Complete assay inventory,"complete, 20 active assays",DOM extraction,https://ait.qbench.net/assays,QBench/Rescans/2026-08-16/Assays/assay_inventory.json,ID 21 added to prior 19-row canonical map,Report and indirect dependencies deferred to later phases
Panels,,Complete panel inventory,"complete, 9 active panels and 88 memberships",DOM extraction,https://ait.qbench.net/panels,QBench/Rescans/2026-08-16/Panels/panel_inventory.json,Current production snapshot,Conditional/program/matrix rules not exposed
Protocols,,Complete protocol inventory,"complete, 15 protocols and 118 assignments",DOM extraction,https://ait.qbench.net/protocols,QBench/Rescans/2026-08-16/Protocols/protocol_inventory.json,Cannabinoid and Terpenes relationships reconciled,Active/required/condition/version behavior not exposed
Protocol Steps,,Complete protocol-step inventory,"complete, 81 definitions",DOM extraction,https://ait.qbench.net/protocolsteps,QBench/Rescans/2026-08-16/Protocols/protocol_step_inventory.json,All current definitions recorded,Native worksheet definitions blocked in Phase 2
Fields,,Field definition inventory,"partial, 277 rows from 20 populated types",DOM extraction,https://ait.qbench.net/settings/fields,QBench/Rescans/2026-08-16/Fields/field_inventory.json,New canonical field baseline,Field ID/type/validation/formula/KV and usage attributes require prohibited Edit actions
Key/Value Stores,,Complete safe KV inventory,"complete, 11 stores and 13766 ordered scalar rows",DOM extraction,https://ait.qbench.net/kvstores,QBench/Rescans/2026-08-16/Key_Value_Stores/kvstore_inventory.json,Corrects first-page Phase 1 count of 10,API Clients and History intentionally omitted; active/system name not exposed
Automations,,Complete automation inventory,"complete, 16 objects 18 conditions 90 actions",DOM extraction,https://ait.qbench.net/automations,QBench/Rescans/2026-08-16/Automations/automation_inventory.json,ID 17 added to prior 15-ID baseline,Runtime/history/scheduling/error/retry/idempotency not exposed
File Parsers,,Complete parser inventory,"complete, 10 objects and 5 code sources",DOM/editor source extraction,https://ait.qbench.net/templates/file-parsers,QBench/Rescans/2026-08-16/File_Parsers/file_parser_inventory.json,"IDs 48, 49, and 50 added to prior 7-ID baseline",History omitted and No-Code finder mappings require prohibited Edit
Reports,,Complete report metadata and visible active source,"complete, 3 configurations and 9 source files",DOM/editor source extraction,https://ait.qbench.net/templates/reports,QBench/Rescans/2026-08-16/Reports/report_inventory.json,Report 26 active version advanced from 20 to 24,No report generated; current worksheet ranges and tenant timezone unverified
Templates,,Complete non-report template inventory,"complete, 27 objects and 26 source files",DOM/editor source extraction,https://ait.qbench.net/templates/labels,QBench/Rescans/2026-08-16/Templates/template_inventory.json,New canonical template baseline,Active label source unavailable after read-only selection; internal-report source not exposed
Phase 4 Analysis,,Automation parser and report dependency analysis,complete,Metadata/source analysis,https://ait.qbench.net/,QBench/Rescans/2026-08-16/automation_cascade_analysis.md,Current production dependency overlay,Runtime behavior not executed
Controls,,Complete safe control inventory,"complete, 4 active controls",DOM extraction,https://ait.qbench.net/controls,QBench/Rescans/2026-08-16/Controls/control_inventory.json,New production baseline,Results and expected/range/frequency/dependency semantics not exposed
Control Groups,,Complete safe control-group inventory,"complete, 2 groups and 4 memberships",DOM extraction,https://ait.qbench.net/control-groups,QBench/Rescans/2026-08-16/Control_Groups/control_group_inventory.json,New production baseline,Configured order/frequency/assay/protocol/failure semantics not exposed
Resource Groups,,Complete resource-group inventory,"complete, 10 groups 105 item rows 137 equipment rows",DOM extraction,https://ait.qbench.net/resourcegroups,QBench/Rescans/2026-08-16/Resource_Groups/resource_group_inventory.json,Reconciled to assay-side assignments,Scheduling/availability/required semantics not exposed
Inventory,,Complete safe item master list,"complete, 158 unique items across 8 pages",DOM extraction,https://ait.qbench.net/inventory/items,QBench/Rescans/2026-08-16/Inventory/inventory_item_inventory.json,Matches Phase 1 count,"Two blank item categories; all 105 membership default quantities blank; operational stock lots separate supplier/manufacturer/catalog fields transactions purchases and attachments omitted"
Equipment,,Complete safe equipment list and schedules,"complete, 103 equipment and 38 schedules",DOM extraction,https://ait.qbench.net/equipmentlist,QBench/Rescans/2026-08-16/Equipment/equipment_inventory.json,Matches Phase 1 count,"Equipment 107 schedule display unresolved; serials records certificates history identities and exact locations omitted"
Document Control,,Expanded tree metadata only,"partial, 68 Show-All leaves",DOM extraction,https://ait.qbench.net/documents,QBench/Rescans/2026-08-16/Document_Control/document_inventory.json,Phase 1 navigation count 47 retained as different scope,No content identities training records or attachments opened
General Settings,,Safe labels and Boolean states,partial structure only,DOM extraction,https://ait.qbench.net/settings/general,QBench/Rescans/2026-08-16/Settings/settings_surface_inventory.json,New production baseline,Timezone locale and text values not exposed or omitted
Customer Portal Settings,,Safe field-label structure,partial structure only,DOM extraction,https://ait.qbench.net/settings/customerportal,QBench/Rescans/2026-08-16/Settings/settings_surface_inventory.json,New production baseline,Branding email and security values omitted
Locations,,Aggregate configuration scope,"partial, count 1097 only",DOM extraction,https://ait.qbench.net/locations,QBench/Rescans/2026-08-16/Settings/locations_summary.json,Matches Phase 1 count,Names addresses licenses METRC and associations omitted
Log Types,,Safe configuration metadata,"complete list, 1 inactive type",DOM extraction,https://ait.qbench.net/logtypes,QBench/Rescans/2026-08-16/Settings/log_type_inventory.json,Matches Phase 1 count,Operational log count and records omitted
Specifications,,Module presence only,blocked read-only,Metadata only,https://ait.qbench.net/settings/general,QBench/Rescans/2026-08-16/Settings/additional_configuration_presence.csv,Specification Module enabled,No standalone visible route; unable to verify
Alerts and Stability,,Cross-phase anchor synthesis,partial metadata only,Metadata only,https://ait.qbench.net/settings/general,QBench/Rescans/2026-08-16/Settings/stability_alert_configuration.json,Assay 13 fields and email 51 reconciled,Scheduling intervals recipients and record model unable to verify
Phase 6 Dependencies,,Cross-category dependency map and graph,complete,Offline sanitized-evidence reconciliation,not_applicable,QBench/Rescans/2026-08-16/dependency_map.md,20 assays and critical parser/automation/worksheet/report relationships reconciled,Current native worksheet exports and runtime behavior unavailable
