row,contract_question,status,sanitized_evidence,runtime_consequence
1,File Parser technology,proven,"Official documentation defines a File Parser as a custom JavaScript template saved in QBench.","JavaScript is the documented implementation language."
2,Execution wrapper,proven,"The official tutorial uses `run(() => { ... })`; current parser 46 uses `run(async () => { ... })`; the visible parser 45 template uses `run(() => { ... })`.","The current tenant wrapper model is established."
3,Selected-file collection,proven,"Official documentation defines `QB.files` as the selected-file array; both current templates reference `QB.files`.","The selected-file global is established for the current tenant."
4,Asynchronous text access,partially_proven,"The official 1.0.0 tutorial uses `QB.files[n].text()`. Current parser 46 under 1.1.0 instead uses `FileReader.readAsText`/`readAsArrayBuffer`.","File/Blob access is corroborated, but direct `.text()` under the current runtime was not exercised."
5,Parser-visible logging,proven,"Official documentation and both current templates use `QB.console`.","Controlled user-visible logging is available."
6,Progress reporting,proven,"Official documentation and both current templates use `QB.progressBar`.","Progress reporting is available."
7,Successful completion,proven,"Official documentation and both current templates use `QB.success()`.","The success completion call is established."
8,Failed completion,proven,"Official documentation and both current templates use `QB.error()`.","The failure completion call is established; transactionality is separate."
9,Batch service,proven,"Official documentation, QBJS v2.7.0, and parser 46 identify `QBBatchService`.","The Batch service class is available in the current tenant."
10,`updateWorksheet` replacement semantics,proven,"QBJS v2.7.0 documents `batchId` and `worksheetData` plus optional `urlParams`, success, and error callbacks; it states that `worksheetData` completely replaces Batch worksheet data.","The method is documented evidence only and is unsuitable for the proposed Terpenes writer because omitted worksheet content may be replaced."
11,`patchWorksheet` omission semantics,proven,"QBJS v2.7.0 documents `batchId` and `data` plus optional `urlParams`, success, and error callbacks; it states that only payload fields are updated and omitted data is not removed.","This is the preferred candidate API for controlled Sandbox investigation; named ranges, arrays, noncontiguous ranges, and atomicity are not proven."
12,Attachment trigger,proven,"Official documentation describes attachment triggers; parser 46 is configured for Batch attachments ending in `.csv`.","Attachment-triggered execution is established."
13,API-triggered attachment parsing,proven,"The Introduction states that attachment-triggered parsing also works through API attachment upload.","API upload can initiate a configured parser trigger."
14,Official tutorial library versions,proven,"The tutorial imports `file_parser.js` 1.0.0 and `qbjs.js` 1.0.0.","These are tutorial versions only and are not tenant-version claims."
15,Current AIT library versions,proven,"Parser 46 and the visible parser 45 template import `file_parser.js` 1.1.0 and `qbjs.js` 2.7.0.","Current inspected tenant versions are established."
16,No-Code configuration model,proven,"Official documentation lists Batch/Test targets and triggers; Equal/Start With/End With/Contain matching; Excel/CSV/TSV/custom delimiter.","Wide TSV to Batch Worksheet is a plausible configuration surface."
17,No-Code finder model,proven,"Official documentation lists five finder types and same-position/Target Start Cell behavior for Cell Range.","Finder capabilities are documented."
18,Raw LabSolutions ASCII suitability,not_found,"Official No-Code documentation covers spreadsheet-like delimited files, not the sectioned LabSolutions ASCII structure.","Direct raw-file use must not be claimed without testing."
19,Batch-to-Test automation architecture,proven,"Official documentation shows Batch Data Modified, all Test Worksheets in Batch, named destination field, Batch Worksheet source, and `VLOOKUP({{test.id}}, ...)`.","Supports future Prompt 5 architecture only; Prompt 5 has not started."
20,Attachment API contract,proven,"Official documentation covers BATCH/TEST association, list retrieval, creation, and temporary retrieval URLs.","Attachment automation is documented; temporary URLs must not be persisted."
21,Result-history invocation model,partially_proven,"All 39 jobs used trigger `Attachment Added To Batch`. Inspected success details showed one attachment each, and two Code-parser jobs used the same sanitized filename pattern as separate jobs.","Per-attachment or per-file invocation is corroborated for the inspected single-file cases. Multi-file upload-group behavior and the native input object remain unproven."
22,Result-history status model,partially_proven,"Complete visible history contained 38 `SUCCESS` and one `IN_PROGRESS` job; no failed job was present.","Only the two observed labels are corroborated. Failure, cancellation, timeout, and terminal-state semantics remain unproven."
23,Result-history error format,not_found,"No failed record existed. Success details exposed a user-facing success message but no error code or error structure.","The native error-reporting API and user-facing failure format remain blocked."
24,Result-history destination association,partially_proven,"History displayed Data Target `None` for parser 46 and `Batch Worksheet` for parsers 47 and 41. Exact worksheet names, ranges, and parser mappings were not displayed.","Destination type association is corroborated; worksheet/range write APIs and mappings remain unproven."
25,Result-history logging behavior,not_found,"Inspected detail modals had a user-facing Message field but no log link, log panel, parsed-output preview, or worksheet-write summary.","Log availability, structure, retention, and diagnostic detail remain unproven."
26,Failure partial-write evidence,not_found,"No failed result was present in the complete 39-job history.","No record-scoped partial-write observation can be made, and no transaction guarantee is implied."
27,Successful numeric-write evidence,not_inspected_due_to_production_data_boundary,"Inspected successes exposed no numeric preview or write summary. No underlying Batch Worksheet was opened because no linked destination record was confirmed as a synthetic or redacted fixture.","JavaScript Number preservation and successful numeric worksheet-write semantics remain unproven."
28,Retry/reprocess behavior,not_found,"No Retry, Rerun, Reprocess, or Run Again control was visible in the history list or inspected detail modals. No such action was invoked.","Retry availability, idempotency, reprocessing semantics, and duplicate-write behavior remain unproven."
