Object ID,Object class,Zone,Scenario B status,Qty,SmartDraw label,Vendor / model,Actual body W (in),Actual body D (in),Actual H (in),SmartDraw block W (in),SmartDraw block D (in),Planning envelope W (in),Planning envelope D (in),Support / furniture ID,Primary association / workflow,Electrical,Water / drain,Gas,Exhaust / ventilation,Preferred placement,Verification level,Source name,Source URL,Notes / constraints,Suggested SmartDraw layer,Floor area counted?,Body area (sq ft),Envelope area (sq ft),Counted floor footprint (sq ft),Block area (sq ft),Status key,Review flag
B-EQ-PREP01,Equipment,Dirty / noisy prep,Required,1,PULVERISETTE 19 LOW-SPEED CUTTING MILL,"FRITSCH PULVERISETTE 19, 50-700 rpm",17.3,31.1,22.0,18,32,48,48,B-T-PREP01,Primary/coarse DDGS grinding before fine grinding and division,Select exact 100-120 V or 200-240 V configuration; dedicated circuit per final model,None,None,Local dust collection strongly recommended,West/northwest; away from clean instruments and window-wall service assumptions,OEM-verified body; accessory envelope is planning allowance,FRITSCH official technical data,https://www.fritsch-international.com/sample-preparation/milling/cutting-mills/details/product/pulverisette-19-50-700-rpm/technical-details/,"Final footprint changes with funnel, rotor, screen, collection vessel, support frame, cyclone and dust package. Do not shrink the 48 x 48 planning envelope without vendor review.",SCENARIO B - EQUIPMENT,No,3.74,16.0,0,4.0,REQ,REVIEW
B-EQ-PREP04,Equipment,Dirty / noisy prep,Required,1,FOSS CT 293 CYCLOTEC,FOSS CT 293 Cyclotec,12.5,12.1,17.8,13,13,30,24,B-T-PREP02,Fine grinding after primary reduction,"115 V, 60 Hz available model; 600 W",None,None,Dust-collection connection as needed,After PULVERISETTE 19 and before sample divider,OEM-verified body,FOSS official CT 293 page,https://www.fossanalytics.com/en/products/ct-293-cyclotec,"Keep transfer space for sample cups, receiving bottles and cleaning tools.",SCENARIO B - EQUIPMENT,No,1.05,5.0,0,1.17,REQ,
B-EQ-PREP05,Equipment,Dirty / noisy prep,Required,1,RETSCH PT 100 + DR 100 DIVIDER,RETSCH PT 100 with DR 100 feeder,22.8,16.5,35.8,23,17,36,30,B-T-PREP02,Representative division between grinding and analytical lanes,"100-240 V, 50/60 Hz, 1-phase",None,None,Control transfer dust,On the workflow path after fine grinding,OEM-verified configured body,RETSCH official PT 100 data,https://www.retsch.com/products/assisting/sample-divider/pt-100/,Envelope includes bottle access and feeder loading; do not block collection bottle removal.,SCENARIO B - EQUIPMENT,No,2.61,7.5,0,2.72,REQ,
B-EQ-PREP07,Equipment,Dirty / noisy prep,Required,1,RETSCH AS 200 BASIC SIEVE SHAKER,RETSCH AS 200 basic,16.4,15.1,8.3,17,16,30,30,B-T-PREP03,Particle-size verification with 1.00 mm and 2.80 mm sieves,Confirm selected voltage; 1-phase,None unless wet sieving is later adopted,None,Control dust; normal HVAC,Near divider and protected sieve storage; isolate vibration from balances,OEM-verified base; stack height allowance,RETSCH official AS 200 basic data,https://www.retsch.com/products/sieving/sieve-shakers/as-200-basic,Base height is about 8.3 in; allow up to 20.1 in total sieve-stack height.,SCENARIO B - EQUIPMENT,No,1.72,6.25,0,1.89,REQ,REVIEW
B-ACC-PREP08-W,Accessory,Dirty / noisy prep,Required,1,8-IN CERTIFIED SIEVE SET - WORKING,"8-in stainless sieves, pan and lid",10,10,,10,10,12,12,B-STOR-PREP08,Working 1.00 mm and 2.80 mm particle-size checks,,,,,Protected storage beside AS 200,Planning block; exact set quantity to confirm,Scenario B workbook PREP-08,,Keep the working and reference/backup sets visibly separate in storage.,SCENARIO B - EQUIPMENT,No,0.69,1.0,0,0.69,REQ,
B-ACC-PREP08-R,Accessory,Dirty / noisy prep,Required,1,8-IN CERTIFIED SIEVE SET - REFERENCE/BACKUP,"8-in stainless sieves, pan and lid",10,10,,10,10,12,12,B-STOR-PREP08,Reference/backup 1.00 mm and 2.80 mm sieves,,,,,Protected storage beside AS 200,Planning block; exact set quantity to confirm,Scenario B workbook PREP-08,,Do not combine the working and reference set into one unlabeled object.,SCENARIO B - EQUIPMENT,No,0.69,1.0,0,0.69,REQ,
B-EQ-MIN03,Equipment,Clean general analysis,Required,1,EVOLUTION ONE UV-VIS,Thermo Scientific Evolution One UV-Vis,23.3,18.7,10.6,24,19,36,30,B-T-CLEAN01,ISO 6491 phosphorus measurement; nearby wet-chemistry preparation,"100-240 V, 50/60 Hz; 150 W maximum",None direct,None,Normal HVAC,"Clean low-dust bench; away from grinding, sink splash and direct HVAC discharge",OEM-verified body,Thermo Fisher official Evolution specifications,https://www.thermofisher.com/us/en/home/industrial/spectroscopy-elemental-isotope-analysis/molecular-spectroscopy/uv-vis-spectrophotometry/instruments/evolution-uv-vis-spectrophotometer.html,"Body block is rounded to the nearest inch; reserve cuvette, standards and reagent transfer space within the 36 x 30 envelope.",SCENARIO B - EQUIPMENT,No,3.03,7.5,0,3.17,REQ,
B-EQ-STARCHG2,Equipment,Clean general analysis,Required,1,AUTOPOL I/II POLARIMETER,"Rudolph AUTOPOL I or AUTOPOL II, 589 nm",24.3,17.5,12.7,25,18,36,30,B-T-CLEAN01,ISO 6493 starch measurement with 200 mm tube,"100-240 V, 50/60 Hz",Temperature-control connection only if selected tube/system requires it,None,Normal HVAC,Clean low-dust bench with tube handling and acid-resistant sample prep nearby,AUTOPOL I body verified; AUTOPOL II must be rechecked if selected,Rudolph official AUTOPOL I specifications,https://rudolphresearch.com/products/polarimeters/autopol-i/,Use the AUTOPOL I body for planning; do not assume the same footprint for every AUTOPOL II configuration without verification.,SCENARIO B - EQUIPMENT,No,2.95,7.5,0,3.12,REQ,
B-EQ-COLOR01,Equipment,Clean general analysis,Required,1,HUNTERLAB COLORFLEX EZ,HunterLab ColorFlex EZ 45/0,5.1,14.2,6.3,6,15,18,24,B-T-CLEAN02,DDGS color measurement; standards and sample-cup storage,"100-240 VAC, 47-63 Hz",None,None,Normal HVAC,Low-dust clean bench; avoid direct window glare/heat,OEM-verified body,HunterLab official ColorFlex EZ specifications,https://www.hunterlab.com/en/products/benchtop-spectrophotometers/colorflex-ez/,"Small body footprint; do not reduce the 18 x 24 working envelope because standards, cups and sample handling need space.",SCENARIO B - EQUIPMENT,No,0.5,3.0,0,0.62,REQ,
B-EQ-DENS01,Equipment,Clean general analysis,Required,1,COPLEY JV 120i/220i DENSITY TESTER,Copley JV 120i or JV 220i,10.2,13.7,22.1,11,14,24,24,B-T-CLEAN02,USP <616> tapped density; cylinder storage and handling,120 V service per selected configuration,None,None,Normal HVAC,Stable level bench; away from analytical balances,OEM-verified body with 250 mL cylinder,Copley Scientific official JVi Series page,https://www.copleyscientific.com/pharmaceutical-testing/powder-testing/tapped-density-jvi-series/,JV 120i and JV 220i are listed with the same exterior dimensions on the official page; confirm attachments/cylinders selected.,SCENARIO B - EQUIPMENT,No,0.97,4.0,0,1.07,REQ,
B-EQ-BAL01,Equipment,Thermal / gravimetric,Required,1,MA204 BALANCE 1 - MOISTURE / ASH / FIBER,"METTLER TOLEDO MA204, P/N 30697411",8.2,13.9,13.9,9,14,24,24,B-T-BAL01,"Thermal gravimetry after desiccator cooling: moisture, ash and fiber crucibles","100-240 V, 50/60 Hz",None,None,Avoid drafts; normal controlled HVAC,"Near, but not on the same bench as, desiccators; isolated from furnace heat, vibration and traffic",Exact model dimensions corroborated; final GWP/fit-for-purpose review required,METTLER TOLEDO analytical-balance guidance + exact MA204 listing,https://www.labfriend.de/mettler-toledo-analytical-balance-ma204,"Use a dedicated balance table. The 24 x 24 dashed envelope is working/door access, not the physical body.",SCENARIO B - EQUIPMENT,No,0.79,4.0,0,0.88,REQ,
B-EQ-BAL02,Equipment,Clean general analysis,Required,1,MA204 BALANCE 2 - SOXHLET / ANALYTICAL PREP,"METTLER TOLEDO MA204, P/N 30697411",8.2,13.9,13.9,9,14,24,24,B-T-BAL02,"Soxhlet gravimetry, standards/reagents, analytical aliquots and backup weighing","100-240 V, 50/60 Hz",None,None,Avoid drafts; normal controlled HVAC,"Clean bench outside solvent hood and away from grinding, sinks, windows, vibration and direct HVAC discharge",Exact model dimensions corroborated; final GWP/fit-for-purpose review required,METTLER TOLEDO analytical-balance guidance + exact MA204 listing,https://www.labfriend.de/mettler-toledo-analytical-balance-ma204,Do not assume this MA204 replaces the LECO-quoted Sartorius interface balance until LECO confirms compatibility.,SCENARIO B - EQUIPMENT,No,0.79,4.0,0,0.88,REQ,
B-EQ-MOIST02A,Equipment,Thermal / gravimetric,Required - location decision,1,HERATHERM OGS100 OVEN,"Thermo Scientific Heratherm OGS100, 65 L",20.9,22.2,28.3,21,23,36,54,B-T-THERM01,ISO 6496 moisture; fiber crucible drying,"120 V, 60 Hz; 14.4 A; 1730 W",None,None,Heat-producing equipment; room exhaust/canopy per facility design,Drying Room preferred if approved; otherwise north/northeast thermal zone,OEM-verified body; final stand and ventilation are field/MEP decisions,Thermo Fisher official OGS100 product page,https://www.thermofisher.com/order/catalog/product/51028112,The 36 x 54 envelope includes a provisional front-door/loading zone. Preserve hot-item transfer path to desiccators.,SCENARIO B - EQUIPMENT,No,3.22,13.5,0,3.35,REQ,
B-EQ-MOIST02B,Equipment,Thermal / gravimetric,Required - location decision,1,THERMOLYNE F6010 MUFFLE FURNACE,Thermo Scientific Thermolyne F6010,19.1,20.1,21.0,20,21,36,54,B-T-THERM02,ISO 5984 ash; ISO 6865 post-digestion ashing,"240 V, 50/60 Hz; 12.9 A; 3095 W",None,None,Heat-producing equipment; exhaust/canopy per facility design,Drying Room preferred if approved; separate from solvent/flammables,OEM-verified body; final stand and ventilation are field/MEP decisions,Thermo Fisher official F6010 product page,https://www.thermofisher.com/order/catalog/product/F6010,The 36 x 54 envelope includes a provisional front-loading and hot-item handling zone.,SCENARIO B - EQUIPMENT,No,2.67,13.5,0,2.92,REQ,
B-ACC-DES01,Accessory,Thermal / gravimetric,Required,1,DESICCATOR 1 - MOISTURE / ASH,Laboratory desiccator - model not selected,,,,18,18,24,24,B-T-DES01,Cooling/staging moisture pans and ash crucibles before BAL-01,None,None,None,None,On cooling/desiccator bench near thermal cluster but away from heat plume,Planning allowance - model to select,AIT planning decision + Scenario B site requirement for desiccator bench,,"18 x 18 is a planning block, not a selected-product footprint.",SCENARIO B - EQUIPMENT,No,,4.0,0,2.25,REQ,REVIEW
B-ACC-DES02,Accessory,Thermal / gravimetric,Required,1,DESICCATOR 2 - FIBER / OVERFLOW,Laboratory desiccator - model not selected,,,,18,18,24,24,B-T-DES01,Parallel cooling for fiber crucibles and overflow batches before BAL-01,None,None,None,None,Beside DES-01 on cooling bench,Planning allowance - model to select,AIT planning decision + Scenario B site requirement for desiccator bench,,Keep separately movable and separately labeled.,SCENARIO B - EQUIPMENT,No,,4.0,0,2.25,REQ,REVIEW
B-EQ-PROT01,Equipment,Clean instrument,Required,1,LECO FP828 / 828P CONFIGURATION,"LECO FP828 Performance with 30-sample autoloader, boom touchscreen and PC",,,,60,30,96,60,B-T-LECO01,ISO 16634-1 Dumas nitrogen/protein,208-240 V dedicated per project workbook; confirm exact configured load,None,Oxygen and carrier gas per final ISO method configuration,Combustion exhaust per LECO pre-installation guide,"Clean instrument zone away from grinding dust, sink splash and solvent/acid handling",Provisional body block; exact configured footprint and clearances required from LECO,LECO official 828 page + user-supplied quotation 144186-0,https://www.leco.com/products/828-series/,"Quote includes 30-sample autoloader, boom-mounted touchscreen and PC. The 60 x 30 body and 96 x 60 envelope are planning allowances only.",SCENARIO B - EQUIPMENT,No,,40.0,0,12.5,REQ,
