checkpoint,expected,actual,status,note
"required_validation_document","Authorized artifact-validation source","phase4b2_validation_report.md","passed","missing_artifact_validation_alias=nonblocking_prompt_filename_mismatch"
"parser_artifact","47297 bytes; c67cc07c38fa50d46150f8b45de899a8e2a4bdb48db763edee73fc07cdfe849b","47297 bytes; c67cc07c38fa50d46150f8b45de899a8e2a4bdb48db763edee73fc07cdfe849b","passed","Manifest and editor fingerprint matched"
"raw_source_sha256","bfd88621e2e8ab791e63ba38f07c9a1174f9600e1cf3f28d5b12ffbd08f2eb91","bfd88621e2e8ab791e63ba38f07c9a1174f9600e1cf3f28d5b12ffbd08f2eb91","passed","Authoritative source remained unchanged"
"runtime_source_delta","Exactly two Sample ID lines; ignored output","Exactly two Sample ID lines; no other changed lines; ignored output","passed","Controlled runtime SHA-256 3b6fda068e6861995f39ab60ed8a35e4a0a9f2378464fe81db3b88bc725e1b9d"
"isolated_assay","Exact active Test and Batch Dynamic Spreadsheet versions; no extra workflow objects","Matched","passed","Read-only verification"
"fresh_samples_tests_batch","Two Samples/NOT STARTED Tests and one isolated Batch","Created exactly once","passed","Identifiers intentionally excluded"
"sandbox_parser_object","One exact Sandbox coded parser","Created exactly once","passed","No production association"
"parser_source_save","Exact authorized artifact saved once and reopened","One draft version saved; reopened source visibly retained","passed","No Set Active or approval action"
"controlled_import","Exactly one file and one first import","One file; one first import; parser success","passed","No retry during the first-import task"
"parsed_records","34","34","passed","Rows 2:35"
"category_counts","Null=3; Blank=2; System Suitability=3; Standard=6; CCV=3; LOQ=1; Matrix Blank=1; Sample=15","Live mapping: blank=3; Blank=3 including Matrix Blank; Other QC=3; Calibration Standard=6; Continuing CCV=3; LOQ Check=1; Unknown=15","passed","QBench sample-type mapping matches source classifications"
"batch_columns","57","57","passed","A:BE present"
"parser_write_cells","55 in A:AE and AH:BE","55-column ownership; AF/AG outputs active","passed","AF and AG excluded from parser ownership"
"reportable_channels","23 in active contract order","23 in active contract order","passed","Visible values numeric or blank"
"row_hashes","34","34","passed","Every populated row"
"peak_table_audit","Unknown-peak total=138","138","passed","Peak audit retained"
"dimethylacetamide_audit","34 numeric values including zeros","34 retained; 31 values of 100 and 3 zeroes","passed","Audit-only field retained"
"manual_integration","Retained","No for all 34 rows","passed","No staff override"
"af_runtime_status","Formula outputs remain active","Rejected=16; Review Required=8; Valid=10","passed","No formula error observed"
"ag_runtime_message","Formula messages remain active","Sample type required=3; Integration review required=8; Import row valid=10; QBench Test ID required=13","passed","Expected controlled holds"
"transfer_candidates","Exactly 2","2","passed","Only mapped Sample rows staged"
"unmapped_samples","13 held","13 held","passed","No Test ID mapping"
"control_exclusion","19 excluded","19 excluded","passed","No control appeared in Test Transfer"
"transfer_readiness","No transfer; staff and QC gates remain neutral/false","Two staged rows held for integration review; Batch disposition Hold; publish ready false","passed","No staff-controlled field completed"
"second_import_authorization","Explicit second-import-authorized reply required","Authorized before submission","passed","No second write occurred before authorization"
"second_import_source","Exact ignored runtime TXT and first-import SHA-256","Same selected file; SHA-256 3b6fda068e6861995f39ab60ed8a35e4a0a9f2378464fe81db3b88bc725e1b9d","passed","Exactly two Sample ID lines differed from the authoritative raw source"
"controlled_second_import","Exactly one identical second import; no retry","One Preview/import; 34 records; 2 resolved; 13 held; 19 controls; success","passed","No third import and no separate Batch Save"
"sandbox_idempotency","Deterministic replacement; no appended dataset","passed_deterministic_range_replacement","passed","34 rows before and after"
"rows_below_second_import","Rows 36:201 contain no imported logical records","166 inspected rows; zero nonblank import_row_id values","passed","No second 34-row dataset appended"
"ordered_row_identity","Stable keys, source hashes, parser versions, and source-row hashes unchanged","Exact ordered baseline match","passed","34 of 34 records"
"analytical_idempotency","All 23 values unchanged per record; native numeric types preserved","782 of 782 cells exact and numeric; zero type mismatches","passed","No analytical value changed"
"af_ag_second_import","AF and AG remain formulas with unchanged results","34 AF and 34 AG readonly formula cells; exact baseline values","passed","No parser overwrite and no #ERROR"
"second_import_counts","Mapped=2; held Samples=13; excluded controls=19; candidates=2","2; 13; 19; 2","passed","All counts unchanged"
"navigation_away","Leave current Batch without Save","Navigated to normal Batches list; no unsaved-change warning","passed","Blocked Save was never executed or retried"
"list_based_reopen","Reopen exact parser Batch from normal list","Exact Batch reopened with intended Batch Version 2 Dynamic Spreadsheet","passed","No internal identifiers recorded"
"parser_update_persistence","34 rows persist without additional UI Save","Rows 2:35 persisted in unchanged source order","passed","QBBatchService update was durable"
"rows_below_import","No duplicate imported dataset","Visible upper, middle, and row-201 checks remained blank","passed","No second landing detected"
"native_types","Numeric concentrations and zeroes remain numeric; blanks remain blank","Persisted analyte cells retained numeric cell class; numeric zeroes and blanks retained","passed","Read-only inspection"
"transfer_gate_values","AZ/BA/BB/BC Boolean; BD neutral; no #ERROR","Both rows: AZ=false; BA=false; BB=false; BC=false; BD=Analytical values incomplete","passed","All five cells remained readonly computed cells"
"candidate_a_analytical_staging","D:Z diagnosis","0 numeric; 23 blank; 0 text/error; AZ=false","passed","All 23 exact analytical labels missing from gated transfer projection"
"candidate_b_analytical_staging","D:Z diagnosis","0 numeric; 23 blank; 0 text/error; AZ=false","passed","All 23 exact analytical labels missing from gated transfer projection"
"candidate_a_source_audit","BA prerequisite diagnosis","BA=false; parser source/audit complete; staff integration review outstanding","passed","AW is Review Required and AX is Review Required at the source landing"
"candidate_b_source_audit","BA prerequisite diagnosis","BA=false; parser source/audit complete; staff integration review outstanding","passed","AW is Review Required and AX is Review Required at the source landing"
"candidate_a_row_prerequisites","BB prerequisite diagnosis","BB=false; final volume and staff confirmations incomplete; Batch disposition Hold","passed","No parser or worksheet defect"
"candidate_b_row_prerequisites","BB prerequisite diagnosis","BB=false; final volume and staff confirmations incomplete; Batch disposition Hold","passed","No parser or worksheet defect"
"transfer_message_sequence","BD matches first failing prerequisite","Analytical values incomplete while AZ=false","passed","Neutral text; no #ERROR"
"transfer_staging_classification","Identify exact next action","staff_staging_ready_expected_staff_review_preparation_and_batch_qc_prerequisites","passed","recommended_next_action=staff_staging_ready"
"post_import_test_recheck","Both Tests remain NOT STARTED and unmodified","Two associated Tests remained NOT STARTED","passed","Test worksheets were not opened; no transfer or Test writer ran"
"batch_to_test_write","Must not occur","Did not occur","passed","Stopped before transfer"
"pass_fail","Must not be created","Not created","passed","No analytical Test write"
"live_qbench_or_api_access","Sandbox browser only; no API","Sandbox browser only; no live QBench or API","passed","No OAuth or developer tools"
"git_finalization","No stage/commit/push/PR update","None performed","passed","Evidence remains unstaged"
"final_classification","parser_sandbox_idempotency_passed plus exact staging classification","parser_sandbox_idempotency_passed; staff_staging_ready_expected_staff_review_preparation_and_batch_qc_prerequisites","passed","Stopped before staff staging or transfer"
