tree_occurrence,tree_path,document_name,node_marker,tree_level,visible_in_approved_view,visible_in_pending_view,status_interpretation,version_metadata,authority_note,content_capture
1,00-Quality Manual,Quality Management System SOP,controlled_document,2,true,false,filter-membership-only,not_opened,,omitted
2,03-Sample Handling / Sample Disposal & Retention,Sample Retention and Disposal SOP,controlled_document,3,true,false,filter-membership-only,not_opened,,omitted
3,03-Sample Handling / Sample Intake [ISO 7.4],Daily Balance Verification,controlled_document,3,true,false,filter-membership-only,not_opened,,omitted
4,03-Sample Handling / Sample Intake [ISO 7.4],"Initial Weighing, Homogenization, and Representative Subsampling SOP",controlled_document,3,true,false,filter-membership-only,not_opened,,omitted
5,03-Sample Handling / Sample Intake [ISO 7.4],Sample Receiving SOP,controlled_document,3,true,false,filter-membership-only,not_opened,,omitted
6,03-Sample Handling / Sample Storage & Chain of Custody,Sample Handling and Storage SOP,controlled_document,3,true,false,filter-membership-only,not_opened,,omitted
7,03-Sample Handling,Inventory Control and Sample Accountability SOP,controlled_document,2,true,false,filter-membership-only,not_opened,,omitted
8,03-Sample Handling,Sample Weighing Log,controlled_document,2,true,false,filter-membership-only,not_opened,,omitted
9,04-Testing Methods / Assay Specific SOPs / Cannabinoid Potency,Cannabinoid Edible Potency Ammendment V1.0.pdf,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
10,04-Testing Methods / Assay Specific SOPs / Cannabinoid Potency,Cannabinoid Potency Assay Form MN,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
11,04-Testing Methods / Assay Specific SOPs / Cannabinoid Potency,Cannabinoid Potency Assay SOP MN,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
12,04-Testing Methods / Assay Specific SOPs / Cannabinoid Potency,Cannabinoid Potency Transfer Protocol,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
13,04-Testing Methods / Assay Specific SOPs / Cannabinoid Potency,Method Transfer Report for Cannabinoid Potency Assay,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
14,04-Testing Methods / Assay Specific SOPs / Foreign Material,FM Testing Validation Report,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
15,04-Testing Methods / Assay Specific SOPs / Foreign Material,Foreign Material Testing Form,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
16,04-Testing Methods / Assay Specific SOPs / Foreign Material,Foreign Material Testing SOP,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
17,04-Testing Methods / Assay Specific SOPs / Foreign Material,Foreign Material Testing Validation Form,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
18,04-Testing Methods / Assay Specific SOPs / Foreign Material,Foreign Material Validation Calculations and Measurement Uncertainty,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
19,04-Testing Methods / Assay Specific SOPs / Heavy Metals,Heavy Metals Analysis in Cannabis and Cannabis Products Form,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
20,04-Testing Methods / Assay Specific SOPs / Heavy Metals,Heavy Metals Analysis in Cannabis and Cannabis Products SOP,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
21,04-Testing Methods / Assay Specific SOPs / Heavy Metals,Method Transfer Report for Heavy Metals Analysis,controlled_document,4,true,false,filter-membership-only,not_opened,,omitted
